attendance,cgpa,backlogs,fees_flag,suspension_flag,gender,broad_phase
86.55629528243475,8.632344011732808,0,0,0,M,0
97.29433627286755,7.923758548630595,0,0,0,F,0
91.11331832670723,9.475338954220945,0,0,0,M,0
89.63791786083357,7.682891107736126,0,0,0,F,0
96.87388545607763,8.470879560111529,0,0,0,F,0
88.67127127644811,9.768680240447077,0,0,0,Other,0
99.67433900474066,8.010216808856264,0,0,0,Other,0
98.74958493799564,8.163858981484132,0,0,0,M,0
96.96644551892983,9.34730244267214,0,0,0,F,0
88.8501471224722,7.805601193477589,0,0,0,M,0
95.41218353904505,9.619370694571423,0,0,0,M,0
90.33684789955724,9.630737635561847,0,0,0,M,0
91.28939058602954,9.899844879343807,0,0,0,F,0
97.39510000394466,7.511725930281642,0,0,0,F,0
97.21356563949,8.679039363642165,0,0,0,Other,0
92.10461872900501,7.712560650538374,0,0,0,F,0
91.39109662833123,9.01450013135624,0,0,0,M,0
97.38309044752808,9.430839241163875,0,0,0,M,0
96.9782277685061,8.930362551437435,0,0,0,F,0
93.40938072474711,9.856149426559488,0,0,0,M,0
93.64835071722192,9.727971945398146,0,0,0,F,0
91.38684170472472,9.317652452967728,0,0,0,F,0
86.33733055903964,8.245742137908655,0,0,0,M,0
93.00687239108107,8.051576046507279,0,0,0,F,0
86.19283644256052,9.51639731832739,0,0,0,F,0
95.34133586905224,7.977729853615396,0,0,0,F,0
86.61194694673094,8.233970725075231,0,0,0,F,0
90.14214729139648,8.654530234873839,0,0,0,M,0
93.47181926854896,8.069233425396796,0,0,0,M,0
91.96525863878065,9.194308077699505,0,0,0,F,0
98.1453022438169,8.548047580695595,0,0,0,F,0
85.0705778271848,7.590464916905329,0,0,0,M,0
87.48448004949988,8.522524316512397,0,0,0,M,0
89.15590408460581,9.055490647518724,0,0,0,M,0
86.53622626132463,9.729492420397392,0,0,0,F,0
98.0851128937662,8.76559866720834,0,0,0,F,0
98.45459293418702,8.062654834898883,0,0,0,M,0
88.1732431330868,9.249563292185229,0,0,0,M,0
87.11264337318089,8.070843839967768,0,0,0,M,0
90.50645491502803,9.715069446257388,0,0,0,F,0
85.74526580721744,8.18318414224206,0,0,0,F,0
99.4620011949377,9.619731773740174,0,0,0,F,0
93.95612333034137,7.530490441575682,0,0,0,M,0
99.14969623396539,7.708687528579351,0,0,0,M,0
89.26727372338014,8.522332900551284,0,0,0,M,0
86.54539869700609,9.309381348872739,0,0,0,M,0
96.83131957430368,8.431255865219503,0,0,0,M,0
98.84880912869487,9.603680068078777,0,0,0,M,0
85.6852480786004,9.170826961779158,0,0,0,F,0
99.91321375303899,8.614851529505673,0,0,0,M,0
99.57660710350267,9.471918329648105,0,0,0,F,0
86.29363862265635,9.643030816770256,0,0,0,M,0
85.3029408402512,7.9262671368103454,0,0,0,M,0
88.0695713681099,8.957130074831346,0,0,0,F,0
96.46373249407645,8.350595869142936,0,0,0,F,0
88.82718256322745,7.587055895065593,0,0,0,F,0
85.58419196956652,9.442347921570107,0,0,0,M,0
92.35398089589286,9.59107797435041,0,0,0,M,0
96.2480922030904,9.885599588720751,0,0,0,M,0
87.12609181800282,8.648045561789806,0,0,0,F,0
85.03591584914889,9.843091740403844,0,0,0,M,0
89.26062664924581,7.63548412682624,0,0,0,M,0
97.75789908277984,9.086042885230093,0,0,0,M,0
86.28876254810336,9.431256699076842,0,0,0,M,0
96.10133814240307,8.095240733967307,0,0,0,F,0
85.40692493227026,8.970783606154022,0,0,0,F,0
96.63657454220771,9.203975334361001,0,0,0,M,0
96.51819267876985,9.899812424134698,0,0,0,M,0
89.67359907611501,7.717859168078301,0,0,0,F,0
94.47786636805934,8.986701054560807,0,0,0,M,0
95.59094260820847,8.548612717715445,0,0,0,F,0
98.9100543932369,9.239405484109207,0,0,0,M,0
89.99998413398386,9.570770002988722,0,0,0,M,0
92.98120113512876,7.926380815717748,0,0,0,F,0
97.74702351629662,9.549072955190475,0,0,0,F,0
91.50994263993353,9.247434050790043,0,0,0,M,0
89.62470703120668,9.842699892948925,0,0,0,F,0
88.87858586189007,9.8002920836776,0,0,0,F,0
86.05094420072739,9.764030437252567,0,0,0,M,0
86.07396579548526,8.77487457302533,0,0,0,M,0
91.90675708087853,9.004817269138584,0,0,0,F,0
86.87141810462694,9.599466605804711,0,0,0,F,0
90.52154941062793,7.598599659468832,0,0,0,Other,0
97.93119456103634,8.781324973830822,0,0,0,F,0
90.8183396497626,8.141482735925317,0,0,0,F,0
88.83760317250479,9.961235790646256,0,0,0,M,0
93.69775990901903,9.728120721991093,0,0,0,F,0
86.75391111275113,7.5949889483277975,0,0,0,F,0
97.37384538812248,9.23279831733152,0,0,0,M,0
85.92134587864986,8.925398288246027,0,0,0,F,0
86.68334690389712,9.917252321610182,0,0,0,F,0
85.20427916408417,7.720175168792219,0,0,0,M,0
87.63986736500216,8.448722254165371,0,0,0,M,0
86.47449660724436,8.342244311887047,0,0,0,Other,0
99.92294792422318,9.013332699105431,0,0,0,F,0
93.24147133472589,9.944225471581518,0,0,0,M,0
96.20881182143899,7.862931061905215,0,0,0,M,0
99.80102967376129,7.510879842796455,0,0,0,F,0
92.13327454968766,9.346703462439027,0,0,0,F,0
94.75743316523926,9.897597611700691,0,0,0,M,0
92.29167870525596,9.322430115085261,0,0,0,F,0
96.21991203189104,7.590749299442358,0,0,0,M,0
94.2107516918012,9.542303977877644,0,0,0,M,0
90.37576721750386,7.944343764093698,0,0,0,M,0
89.39183935235786,8.519376464566042,0,0,0,M,0
89.25597369314757,8.792182269767672,0,0,0,F,0
99.74992041384051,8.273050884116316,0,0,0,M,0
97.32951643488418,7.600802345080201,0,0,0,F,0
94.01736114034159,8.825170369399052,0,0,0,M,0
98.31874799350618,8.011611323733089,0,0,0,F,0
88.4754983185112,9.869744481806634,0,0,0,M,0
86.86424150699433,7.718901072724518,0,0,0,Other,0
95.54074508293742,7.847680355283444,0,0,0,M,0
98.19254242387605,9.259301533369653,0,0,0,M,0
92.44054873251058,9.206707618995146,0,0,0,F,0
98.57671387168254,9.777388947593488,0,0,0,F,0
96.75800443204868,8.139642007471998,0,0,0,F,0
98.16382995508718,9.522267776325394,0,0,0,F,0
89.32617495367819,7.7168552000381725,0,0,0,F,0
95.27800913908825,7.632703785203608,0,0,0,M,0
88.83916751465856,8.005560393717813,0,0,0,Other,0
92.3832346138494,9.05923748358033,0,0,0,F,0
86.40320063896652,8.218180147855598,0,0,0,F,0
99.80422861446361,8.892285827287514,0,0,0,F,0
94.99746280742667,7.875434990632308,0,0,0,F,0
92.04334582809648,8.14212996375401,0,0,0,M,0
94.60725367766352,7.888659433936645,0,0,0,M,0
97.63617945329253,9.147522982058893,0,0,0,M,0
85.36641395720119,8.630143105529317,0,0,0,F,0
91.0940405171198,8.83074691323195,0,0,0,M,0
88.51933193340012,9.897555520447645,0,0,0,M,0
93.84198404068852,9.597053125529463,0,0,0,F,0
93.88298115869476,9.595299954730361,0,0,0,Other,0
90.31576763847166,8.672074510743267,0,0,0,M,0
95.61718250125402,8.74236541154718,0,0,0,F,0
94.60838913772456,8.033651979929495,0,0,0,M,0
95.23752896184997,9.262950728201059,0,0,0,M,0
98.27832959998189,7.7879571620220736,0,0,0,F,0
88.5308338430154,9.337873526904417,0,0,0,M,0
92.88455549795712,8.420768612856103,0,0,0,M,0
91.2923497683464,8.655304932039463,0,0,0,F,0
93.5166761572286,9.174611002753817,0,0,0,M,0
92.67049611181075,9.788258538288563,0,0,0,F,0
96.07005814249108,9.614536981591286,0,0,0,M,0
90.03455418101903,8.019894610661861,0,0,0,F,0
88.40810296142193,8.559963269685417,0,0,0,M,0
85.46202893431925,8.055843993279682,0,0,0,Other,0
89.85290324019407,7.648495036821917,0,0,0,M,0
96.92266859915236,9.272233597105426,0,0,0,F,0
96.18130783642735,7.689295161838399,0,0,0,M,0
94.12975156807757,9.722975195138263,0,0,0,F,0
88.78054114098643,8.803522351312138,0,0,0,M,0
87.49702653083071,9.913171878989514,0,0,0,Other,0
94.648378424102,7.824667661840172,0,0,0,M,0
88.15245869958234,9.687387506444498,0,0,0,F,0
94.67401478489641,7.624642855840078,0,0,0,M,0
97.34923840757087,9.99133136556011,0,0,0,M,0
97.99437346853439,9.27601137752394,0,0,0,F,0
90.58869623044039,7.802374917509693,0,0,0,M,0
98.2994358869523,9.433123561866635,0,0,0,F,0
99.14421927897648,7.7707927141440365,0,0,0,F,0
97.16461115774342,8.48070889433688,0,0,0,F,0
90.0954572116767,7.79474615204769,0,0,0,F,0
98.42207071485073,9.566950463064616,0,0,0,M,0
91.81009376463118,9.128279395467828,0,0,0,F,0
92.01532970325131,9.744772224592975,0,0,0,M,0
90.70922912655345,8.174232308584685,0,0,0,F,0
87.3247473569838,9.967345660950361,0,0,0,M,0
96.21590152099942,8.929049816338017,0,0,0,M,0
87.07469409304927,7.643548226820352,0,0,0,M,0
85.61960569567847,8.280024368906812,0,0,0,F,0
97.79054599829678,9.909923304317035,0,0,0,M,0
89.82737178208072,8.479612255086748,0,0,0,F,0
96.15566075162603,7.5120658766804,0,0,0,F,0
99.1449774570263,9.620235998078908,0,0,0,F,0
88.39932814699408,8.91403729155795,0,0,0,M,0
92.87523437940942,8.843930690221878,0,0,0,M,0
91.31893476978512,7.629558969316503,0,0,0,F,0
90.37404172269429,8.822973101505447,0,0,0,M,0
90.50808171520693,9.326656753725661,0,0,0,F,0
95.55764643854943,9.336664796002653,0,0,0,F,0
94.11413341467903,7.804301959856317,0,0,0,F,0
98.6559266749217,8.582342754951354,0,0,0,F,0
89.44824384125872,9.239729019992993,0,0,0,M,0
91.25610458471552,8.375621365023088,0,0,0,M,0
96.34434258933919,9.005336181873087,0,0,0,F,0
96.93786139792849,7.634146212945589,0,0,0,F,0
89.55972402764755,9.587425044641709,0,0,0,F,0
95.2908568189667,7.996284927424777,0,0,0,M,0
86.80319522828405,8.601873234693908,0,0,0,F,0
99.39316531111875,8.215160935738796,0,0,0,M,0
90.83240222884316,9.180322111001782,0,0,0,M,0
91.34766124195677,7.711427339176652,0,0,0,M,0
95.22735301373214,9.203967372522394,0,0,0,M,0
99.91855360465009,8.337656079032458,0,0,0,M,0
85.42339950742125,9.844344244160544,0,0,0,F,0
98.89364804748364,7.947465738743981,0,0,0,M,0
95.82475443254886,8.584244869653142,0,0,0,M,0
95.41232206527359,8.288300773749674,0,0,0,M,0
88.61897666412021,8.739258709599676,0,0,0,F,0
86.59503399820903,7.521475740628078,0,0,0,F,0
86.18566479205057,8.916203392932193,0,0,0,F,0
91.69898742748212,8.398280868620258,0,0,0,M,0
90.31240273759957,7.9796313438746145,0,0,0,M,0
98.03266377156312,9.510476287981614,0,0,0,M,0
86.84565904908791,8.373842039787519,0,0,0,M,0
89.11008453472178,8.157768091104217,0,0,0,F,0
