attendance,cgpa,backlogs,fees_flag,suspension_flag,broad_phase,att_cgpa_interaction,att_backlog_ratio,risk_index
32.89295233888459,2.755417067318548,3,0,1,3,0.09063380226905815,0.08851397688829162,153.32996232452268
94.06881844983106,8.015542793885576,0,0,0,0,0.7540126398548739,0.0,15.853467580741064
51.38999493326128,5.840426919925201,4,1,0,2,0.30013950982303883,0.07635045594288627,139.40787046711273
91.27401339464686,5.831281943826134,0,0,1,1,0.532244506248749,0.0,49.56957688622247
60.14814548911368,4.0327029562552354,6,1,1,2,0.24255960412721872,0.09812235435771623,179.68833972961014
59.60248728765588,6.178579476511576,6,1,1,2,0.36825870470455274,0.09900583735978341,169.50461532978625
73.29590342765017,5.855680970625491,1,0,1,1,0.42919742692609486,0.013459692309600977,77.42569171922237
10.503002936581783,3.251585658325616,6,0,1,3,0.034151413717941156,0.52160292691214,203.23906877179016
93.96673617599964,8.369706336150474,0,0,1,0,0.7864739871596441,0.0,34.18473214324799
77.83380775032595,4.699679868819813,8,1,1,2,0.3657939793977984,0.10147930473353196,178.667792905575
88.62428874386659,7.623236209821311,0,1,1,0,0.675603887021903,0.0,73.25953020702686
53.24279907023635,5.707027969009569,2,1,1,2,0.30385814344219547,0.036871253590919924,138.22206108471582
69.32826075285436,5.675656687773183,3,1,0,2,0.393483406793621,0.042657104951628444,112.29345580827972
81.91062565866878,7.244946642200606,1,0,0,1,0.5934381123263232,0.012061180241442844,41.864641130328195
92.77058250662049,7.0540268733440445,0,1,1,0,0.6544061820574818,0.0,71.9592831266593
91.9292327627825,8.10139863844889,0,0,0,0,0.7447553611380573,0.0,17.563774044973044
84.7049798086373,5.18009896688957,3,1,0,1,0.438780178397124,0.0350038003240701,99.39452535691484
86.80124233625126,7.479706973743784,0,0,0,0,0.6492478576320827,0.0,25.800222795029818
13.472622016614215,3.589440086165598,10,1,1,3,0.04835916953219226,0.6909597990274495,268.5801775525578
34.276910253248175,3.756170749478428,7,0,1,3,0.12874992767574803,0.19843007649331942,186.9422359993597
68.05534758074647,6.575214091888122,3,0,1,1,0.4474784804412684,0.04344341321998413,99.06858195981292
46.383853755524015,4.786862239842262,5,0,0,3,0.22203311808068357,0.10552117659735727,129.68183504526468
49.47793776586046,4.487784645752215,7,1,0,3,0.2220463294091122,0.1386744449123332,178.08313900537846
55.188018254371386,4.131543812067598,0,0,0,2,0.22801171531912173,0.0,74.15426268529063
50.806659693894375,2.852956095801269,7,1,1,3,0.1449491694809966,0.13511776364969885,204.92855982709926
85.4726047231997,7.112518970178936,0,1,1,0,0.6079255225243636,0.0,78.96480042590562
51.86989059743237,5.076845711293954,5,1,1,2,0.26333543162486106,0.09457178638918587,172.74588084609786
84.95858724372361,5.980124801709193,4,1,1,1,0.5080629546943659,0.046534036077844745,125.14078874773043
66.68714164048924,5.824491092654343,0,1,1,1,0.3884186624796081,0.0,104.19040289623905
92.15410501503942,8.782359010834952,0,0,1,0,0.809330434564262,0.0,33.93409993078582
73.58597329174621,7.211883933766499,2,0,1,1,0.5306934985333152,0.02681469332279026,80.3546070394213
74.0016541950455,7.592830573223537,2,0,1,1,0.5618820224412573,0.02666607852140036,78.03419293883681
73.20059912116695,5.480110205453112,4,1,0,1,0.40114735028918913,0.05390792052053572,119.39884985156749
95.0,6.669016511721701,1,0,0,1,0.6335565686135615,0.010416666666666666,31.654917441391497
69.96748257047798,3.0,4,1,0,2,0.20990244771143393,0.0563638423559352,135.03251742952202
89.34431234898328,7.138268296297291,1,0,0,0,0.6377636722952299,0.011068765415327817,34.964346169530266
51.85124068668571,5.124124484954114,4,1,0,3,0.2656922119778953,0.07568412676843138,142.5281368885437
46.62732416339141,6.38805917001142,3,0,1,2,0.29785810569504756,0.0629890520346709,121.4323799865515
70.52197075276864,4.975658268077886,4,1,1,2,0.3508932268571601,0.055926870553202127,144.59973790684194
88.77361077028945,8.892584201036065,0,0,0,0,0.7894268086048011,0.0,16.76346822453022
94.17555622957288,8.235568146699965,0,1,1,0,0.7755892110820218,0.0,64.6466030369273
20.304630073686244,3.065843137758007,9,0,1,3,0.06225081077612583,0.42244338291121386,224.36615423752372
91.70777775470256,7.850367648057372,0,1,1,0,0.7199397715607524,0.0,69.04038400501058
89.35978124801775,6.982028190685221,2,0,1,1,0.6239125117871246,0.022133741055773908,65.73007779855614
47.48800988707854,3.142377651839369,4,0,1,3,0.14922526099948258,0.08249462102724804,146.8001018537246
70.15010275738275,5.0,0,0,0,1,0.3507505137869138,0.0,54.849897242617246
